model,train_loss,valid_loss,train_acc,valid_acc
finetuned_ResNet101V2_nobg,0.015460302593358696,0.24625521984206797,0.9947916865348816,0.9525547623634338
finetuned_VGG16_nobg,0.023319410858372674,0.4309098637733971,0.9921875,0.956204354763031
finetuned_InceptionResNetV2_nobg,0.14448398825819217,0.18841718499768628,0.9576823115348816,0.956204354763031
finetuned_MobileNetV2_nobg,0.013917442484967069,0.3822053930716215,0.9947916865348816,0.94525545835495
